,sig,cdi,longitude,latitude,depth,gap,official,dmin,nst,mmi,magnitude
0,657,7,167.158,-13.8814,192.955,25.0,0,7.177,114,4,6.5
1,775,8,-88.1265,12.814,69.727,40.0,0,0.679,92,6,6.5
2,899,7,-70.3731,-38.1911,171.371,28.0,0,1.634,70,5,6.6
3,860,6,-160.699,54.3844,32.571,36.0,0,0.907,173,6,7.2
4,820,0,-160.796,54.49,21.0,172.8,0,0.879451,79,5,7.3
5,802,5,-61.0955,20.0196,10.0,37.0,0,2.454,95,4,6.6
6,741,4,-174.937,-17.853,229.0,23.0,0,1.179,136,4,6.9
7,804,8,-177.208,-22.9824,167.404,24.0,0,2.59,85,6,7.2
8,733,6,-77.1231,8.8894,10.0,129.0,0,2.163,50,6,6.6
9,777,3,170.456,-23.0622,35.981,56.0,0,2.812,98,4,7.1
10,927,5,170.694,-23.2286,18.027,15.0,0,3.111,277,4,7.7
11,907,8,-174.608,-15.6002,210.097,17.0,0,3.631,111,6,7.6
12,670,0,178.424,-25.2657,598.467,50.0,0,5.123,52,2,6.6
13,838,9,98.5339,-0.781,15.462,58.0,0,2.282,70,7,7.1
14,777,8,-177.897,-30.0249,43.063,23.0,0,0.708,126,7,7.1
15,691,0,179.391,-22.2844,595.854,10.0,0,4.719,166,3,6.7
16,818,5,112.033,-6.0255,594.028,31.0,0,1.881,131,3,7.0
17,655,7,158.484,52.7772,105.631,30.0,0,0.266,104,6,6.5
18,781,7,143.155,-4.2924,62.603,31.0,0,6.45,105,7,7.0
19,656,4,-66.5108,-23.4797,209.976,33.0,0,1.622,97,4,6.5
20,1350,7,70.9787,36.5227,187.589,13.0,0,2.53,134,5,6.5
21,1159,9,-79.8001,-2.851,65.842,28.0,0,0.709,152,7,6.8
22,756,8,-176.112,-30.1147,22.065,22.0,0,1.789,116,5,7.0
23,735,5,-178.787,-29.4748,205.681,18.0,0,0.784,108,5,6.9
24,653,7,166.385,-15.3597,10.0,45.0,0,5.483,66,6,6.5
25,652,4,149.487,-4.8138,598.925,20.0,0,2.739,115,2,6.5
26,737,9,73.2077,38.0726,20.522,20.0,0,1.783,128,7,6.8
27,1411,9,37.203,38.0235,10.0,17.0,0,0.85,135,9,7.5
28,800,9,36.8306,37.4135,14.497,44.0,0,0.218,108,8,6.7
29,2910,9,36.9997,37.2012,17.925,32.0,0,1.919,118,9,7.8
30,718,4,-63.0394,-26.7209,610.671,61.0,0,5.129,60,3,6.8
31,756,3,127.051,2.7401,28.566,17.0,0,1.974,130,5,7.0
32,957,5,130.039,-7.0852,105.249,21.0,0,1.575,114,7,7.6
33,768,8,166.878,-14.9383,29.0,36.0,0,6.096,116,7,7.0
34,720,5,-172.968,-15.3983,38.0,26.0,0,2.587,152,5,6.8
35,768,8,159.596,-9.7963,14.0,17.0,0,0.509,117,7,7.0
36,735,4,100.738,-4.9559,25.0,34.0,0,2.229,99,4,6.9
37,755,3,-178.346,-20.0508,579.0,18.0,0,3.125,147,3,7.0
38,833,5,-172.129,-19.2918,37.0,21.0,0,1.865,149,5,7.3
39,670,0,178.278,-25.5948,624.464,27.0,0,4.998,131,2,6.6
40,755,4,178.381,-26.0442,660.0,26.0,0,4.578,142,3,7.0
41,711,1,178.363,-25.9678,630.379,22.0,0,4.678,136,3,6.8
42,797,7,-82.3396,7.6712,20.0,37.0,0,1.151,145,6,6.7
43,1179,8,-102.913,18.33,20.0,92.0,0,2.137,175,7,6.8
44,1799,9,-103.252,18.3667,26.943,69.0,0,1.153,271,8,7.6
45,887,9,121.307,23.1444,10.0,34.0,0,0.401,215,9,6.9
46,756,7,121.348,23.029,10.0,54.0,0,0.43,178,7,6.5
47,761,7,170.239,-21.2077,137.0,45.0,0,2.977,192,5,7.0
48,965,8,146.471,-6.2237,116.0,12.0,0,3.158,272,8,7.6
49,1043,9,102.279,29.7263,12.0,34.0,0,8.454,141,8,6.6
50,672,7,-178.959,-32.6922,30.0,34.0,0,5.293,68,6,6.6
51,1351,9,120.809,17.5978,33.729,22.0,0,5.276,152,8,7.0
52,653,3,-71.1647,-9.0618,622.73,31.0,0,1.999,236,2,6.5
53,876,7,-70.3081,-14.8628,236.0,40.0,0,2.494,144,5,7.2
54,733,2,159.027,-54.1325,10.0,45.0,0,0.371,127,5,6.9
55,762,6,-66.7236,-23.6141,220.0,30.0,0,1.505,162,5,6.8
56,762,6,-86.9919,11.5538,27.0,94.0,0,0.914,0,5,6.6
57,763,6,170.349,-22.5732,10.0,26.0,0,2.705,0,4,7.0
58,738,6,170.277,-22.72,10.0,42.0,0,2.697,0,4,6.9
59,806,8,121.636,23.3421,24.0,32.0,0,0.289,0,7,6.7
60,2397,9,141.587,37.7015,41.0,29.0,0,2.936,0,8,7.3
61,708,9,98.6034,-0.6831,28.0,43.0,0,2.188,0,6,6.7
62,670,2,-177.74,-30.0528,24.0,46.0,0,0.827,0,7,6.6
63,712,2,-179.968,-23.7852,535.0,12.0,0,5.78,0,3,6.8
64,690,8,-76.9395,-4.455,110.0,22.0,0,3.026,0,6,6.5
65,651,7,-176.729,-29.535,8.0,57.0,0,1.088,0,4,6.5
66,785,8,105.251,-6.9291,33.0,22.0,0,2.418,0,6,6.6
67,650,0,-168.08,52.502,37.0,108.0,0,1.61607,97,3,6.5
68,650,0,-168.08,52.502,37.0,208.8,0,0.0,23,3,6.5
69,674,8,-168.15,52.6252,19.0,49.0,0,0.507,0,5,6.6
70,691,0,-167.736,52.48,33.0,126.0,0,0.936943,50,4,6.7
71,691,0,-167.736,52.48,33.0,205.2,0,0.0,20,4,6.7
72,730,7,-167.917,52.6563,20.0,61.0,0,0.92,0,6,6.8
73,976,6,31.9095,35.1456,21.0,21.0,0,1.168,0,6,6.6
74,1012,9,101.299,37.8167,13.0,13.0,0,2.685,0,8,6.6
75,921,8,127.581,-7.5924,165.49,19.0,0,3.713,0,7,7.3
76,854,9,122.2,-7.6033,14.27,32.0,0,1.025,0,5,7.3
77,1094,8,-76.8461,-4.4898,126.0,40.0,0,4.951,0,8,7.5
78,688,7,126.48,23.5414,12.0,15.0,0,3.259,0,4,6.6
79,995,8,-156.492,56.2581,51.6,0.0,0,0.0,0,6,6.9
80,740,4,174.54,-21.1704,535.0,31.0,0,4.778,0,3,6.9
81,826,4,174.895,-21.1036,527.0,32.0,0,4.493,0,4,7.3
82,684,7,-87.8542,12.1598,21.0,114.0,0,0.993,0,5,6.5
83,2504,8,-99.7877,16.9502,20.0,43.0,0,0.07,0,8,7.0
84,776,1,-24.9992,-60.3026,6.0,32.0,0,9.799,0,4,7.1
85,670,1,-24.4608,-60.1023,7.0,19.0,0,8.865,0,3,6.6
86,741,8,167.085,-14.892,93.0,54.0,0,0.579,0,7,6.9
87,734,6,-23.3318,-58.3814,16.7,48.0,0,8.363,0,4,6.9
88,2331,9,-73.4804,18.3521,10.0,23.0,0,1.178,0,8,7.2
89,738,5,-157.707,55.2364,33.3,0.0,0,0.0,0,4,6.9
90,738,5,-157.68,55.2657,20.74,36.0,0,1.173,0,4,6.9
91,1009,0,-25.3206,-58.4157,22.79,78.0,0,7.463,0,7,8.1
92,868,9,-25.1874,-57.5959,47.23,38.0,0,7.227,0,6,7.5
93,846,9,126.742,6.4547,55.14,25.0,0,1.273,0,7,7.1
94,1237,8,-157.917,55.4742,46.66,66.0,0,0.875,0,6,8.2
95,1252,8,-157.829,55.3154,35.0,0.0,0,0.0,0,7,8.2
96,935,8,120.713,13.6989,110.0,12.0,0,8.139,0,5,6.7
97,830,6,-82.8813,7.5904,10.0,61.0,0,1.395,0,6,6.7
98,650,0,-177.773,-30.2144,25.0,24.0,0,7.994,0,4,6.5
99,652,5,-177.356,-16.4796,10.0,44.0,0,4.518,0,7,6.5
100,1025,9,98.2551,34.5861,10.0,9.0,0,4.655,0,9,7.3
101,698,8,96.6475,0.1684,11.0,37.0,0,1.487,0,4,6.7
102,694,9,66.3745,-17.2495,10.0,45.0,0,10.669,0,3,6.7
103,919,7,141.665,38.2296,43.0,35.0,0,2.619,0,6,6.9
104,651,4,-177.064,-21.6857,246.0,20.0,0,5.931,0,4,6.5
105,652,6,-176.235,-18.9204,301.0,19.0,0,10.405,0,4,6.5
106,1052,7,141.607,38.4752,43.0,35.0,0,2.378,0,7,7.0
107,672,5,163.208,54.7018,13.23,18.0,0,3.183,0,5,6.6
108,650,0,-176.619,-28.4792,24.0,25.0,0,11.764,0,4,6.5
109,1021,9,-177.224,-29.7466,28.93,21.0,0,0.739,0,8,8.1
110,843,3,-177.842,-29.6131,43.0,30.0,0,0.437,0,7,7.4
111,932,7,179.544,-37.596,10.0,24.0,0,0.918,0,6,7.3
112,1612,9,141.992,37.6856,43.98,11.0,0,3.085,0,8,7.1
113,918,9,171.489,-23.2787,10.0,15.0,0,7.989,0,4,7.7
114,739,9,-55.559,-61.8484,15.0,16.0,0,1.55,0,5,6.9
115,802,7,127.517,5.0074,80.0,15.0,0,2.821,0,5,7.0
116,776,8,100.443,51.2407,10.0,22.0,0,2.043,0,8,6.7
117,776,5,-74.9067,-39.3264,10.0,19.0,0,1.319,0,5,6.7
118,1527,8,26.7953,37.8973,21.0,18.0,0,1.518,0,7,7.0
119,1165,9,-159.675,54.662,28.37,36.0,0,0.23,0,7,7.6
120,732,0,-26.8332,0.9604,10.0,16.0,0,11.255,0,3,6.9
121,674,6,-71.3937,-27.9285,16.0,49.0,0,0.388,0,6,6.5
122,824,6,-71.1958,-28.013,21.0,69.0,0,0.312,0,7,6.8
123,651,4,-29.7046,0.8696,10.0,31.0,0,15.394,0,5,6.5
124,749,4,123.493,-6.6704,624.0,20.0,0,2.267,0,3,6.9
125,735,4,101.215,-4.2791,26.0,25.0,0,1.716,0,4,6.9
126,716,5,101.095,-4.3724,22.0,34.0,0,1.816,0,4,6.8
127,784,9,124.13,12.0065,10.0,14.0,0,5.128,0,8,6.6
128,1111,9,-158.477,55.1079,28.0,60.0,0,0.621,0,7,7.8
129,820,6,147.755,-7.847,73.0,18.0,0,1.671,0,7,7.0
130,684,4,110.678,-5.6368,533.76,14.0,0,1.458,0,2,6.6
131,1494,8,-95.9533,15.9163,20.0,30.0,0,0.151,0,8,7.4
132,873,7,-177.838,-33.2938,10.0,23.0,0,4.035,0,7,7.4
133,734,5,128.262,28.9386,165.0,18.0,0,2.015,0,4,6.6
134,835,6,-68.4204,-23.2966,112.0,21.0,0,1.164,0,6,6.8
135,1320,7,-117.85,38.1689,2.7,55.79,0,0.357,27,8,6.5
136,671,4,166.648,-12.0662,107.0,12.0,0,3.403,0,6,6.6
137,738,4,129.785,-6.7762,96.0,16.0,0,1.921,0,6,6.8
138,678,7,25.7101,34.1818,10.0,19.0,0,1.293,0,6,6.5
139,1410,8,-115.118,44.4646,12.06,31.0,0,0.885,0,8,6.5
140,879,6,157.695,48.9638,57.8,12.0,0,4.109,0,5,7.5
141,770,5,148.959,45.6161,143.0,25.0,0,4.501,0,6,7.0
142,1812,9,-78.756,19.4193,14.86,26.0,0,1.657,0,6,7.7
143,1247,8,39.0609,38.4312,10.0,49.0,0,0.87,0,9,6.7
144,825,9,125.174,6.6969,18.0,39.0,0,0.546,0,7,6.8
145,799,6,126.416,1.6213,33.0,11.0,0,1.271,0,6,7.1
146,650,0,-179.511,-21.9449,577.0,25.0,0,4.765,0,2,6.5
147,673,4,-175.272,-18.5747,10.0,48.0,0,5.086,0,4,6.6
148,733,9,125.178,6.9098,10.0,19.0,0,0.428,0,7,6.5
149,780,9,125.008,6.7567,15.0,24.0,0,0.646,0,7,6.6
150,844,7,-73.163,-35.4758,11.0,98.0,0,1.269,0,6,6.7
151,656,7,128.37,-3.4528,12.26,15.0,0,3.909,0,7,6.5
152,671,2,-178.57,-20.3641,591.0,19.0,0,4.121,0,3,6.6
153,670,0,-26.5801,-60.2152,16.0,19.0,0,12.896,0,4,6.6
154,875,4,104.791,-7.2822,49.0,23.0,0,2.839,0,6,6.9
155,947,6,-72.3102,-34.2364,25.0,35.0,0,0.817,0,6,6.8
156,670,0,167.998,-16.1985,181.0,30.0,0,6.024,0,4,6.6
157,809,7,128.034,-0.5858,18.98,38.0,0,1.504,0,7,7.2
158,791,5,120.358,-18.2242,10.0,32.0,0,2.978,0,5,6.6
159,747,7,126.189,0.5126,35.0,21.0,0,1.205,0,5,6.9
160,1646,9,-117.599,35.7695,8.0,43.0,0,0.04616,77,9,7.1
161,952,4,129.169,-6.4078,212.0,16.0,0,2.629,0,6,7.3
162,830,8,-178.1,-30.6441,46.0,11.0,0,1.402,0,6,7.3
163,886,7,-89.3056,13.1994,57.92,22.0,0,1.193,0,6,6.6
164,1890,9,-75.2697,-5.8119,122.57,17.0,0,3.18,0,8,8.0
165,929,7,152.597,-4.051,10.0,16.0,0,0.453,0,7,7.6
166,826,7,146.449,-6.9746,146.0,16.0,0,2.514,0,6,7.1
167,717,5,122.58,-1.8146,15.46,28.0,0,0.791,0,6,6.8
168,650,0,-25.304,-58.6262,38.0,18.0,0,7.568,0,5,6.5
169,869,7,-70.1546,-14.7131,267.0,42.0,0,2.501,0,4,7.0
170,1145,7,-77.0505,-2.1862,145.0,15.0,0,2.045,0,7,7.5
171,909,6,-92.4527,14.6802,66.0,43.0,0,0.289,0,6,6.7
172,691,0,42.3568,-43.1219,13.0,17.0,0,7.527,0,3,6.7
173,1600,8,-71.3815,-30.0404,63.0,22.0,0,0.173,0,8,6.7
174,671,5,166.875,-13.336,35.0,18.0,0,7.818,0,4,6.6
175,672,2,126.758,2.258,43.21,33.0,0,1.596,0,4,6.6
176,715,3,-71.587,-8.144,570.41,16.0,0,1.181,0,3,6.8
177,803,5,126.921,5.8983,60.21,21.0,0,1.769,0,5,7.0
178,822,3,164.699,55.0999,16.56,23.0,0,4.126,0,7,7.3
179,776,0,-26.3856,-58.5446,133.0,20.0,0,7.043,0,5,7.1
180,670,0,169.733,-22.0629,10.0,31.0,0,2.679,0,4,6.6
181,871,3,169.427,-21.9496,10.0,18.0,0,2.405,0,6,7.5
182,1790,8,-149.955,61.3464,46.7,0.0,0,0.0,0,8,7.1
183,711,0,-178.927,-17.8735,540.0,39.0,0,2.879,0,3,6.8
184,693,3,-11.2431,71.6312,10.0,19.0,0,7.853,0,4,6.7
185,954,8,20.5565,37.5203,14.0,15.0,0,2.268,0,7,6.8
186,655,2,-129.724,49.297,10.0,68.0,0,1.692,0,4,6.5
187,776,4,-129.289,49.3346,10.0,36.0,0,1.505,0,4,6.8
188,669,3,-129.412,49.2586,10.0,63.0,0,1.611,0,4,6.5
189,650,0,169.522,-21.7427,17.0,22.0,0,2.109,0,4,6.5
190,691,0,153.243,52.8549,461.0,17.0,0,2.705,0,3,6.7
191,650,0,156.297,49.2902,20.0,14.0,0,3.923,0,4,6.5
192,758,6,151.205,-5.7012,39.0,18.0,0,1.778,0,6,7.0
193,691,2,-178.063,-18.3604,550.0,23.0,0,3.745,0,3,6.7
194,2026,8,119.846,-0.2559,20.0,13.0,0,1.649,0,8,7.5
195,651,4,178.199,-25.415,576.0,18.0,0,5.139,0,1,6.5
196,735,3,-179.373,-31.7447,115.0,18.0,0,2.785,0,4,6.9
197,651,3,161.503,-10.0207,68.0,25.0,0,1.638,0,6,6.5
198,979,7,179.35,-18.4743,670.81,12.0,0,1.431,0,4,7.9
199,1075,8,141.929,42.6861,35.0,32.0,0,1.13,0,9,6.6
200,776,2,170.126,-22.0295,21.43,23.0,0,2.548,0,5,7.1
201,776,0,-70.8284,-11.0355,630.0,12.0,0,3.77,0,3,7.1
202,652,6,168.143,-16.0315,9.0,10.0,0,4.797,0,7,6.5
203,1570,8,-62.9019,10.7731,146.82,15.0,0,1.822,0,6,7.3
204,1206,7,116.627,-8.319,21.0,31.0,0,2.453,0,7,6.9
205,1050,5,-178.153,-18.1125,600.0,13.0,0,3.63,0,4,8.2
206,743,5,119.802,-7.3718,529.0,23.0,0,2.719,0,3,6.5
207,655,6,-178.026,51.4234,33.93,22.0,0,0.576,0,6,6.5
208,1704,9,116.438,-8.2581,34.0,15.0,0,2.271,0,8,6.9
209,1392,7,-155.0,19.3182,5.81,210.0,0,0.11,63,8,6.9
210,733,5,-63.0058,-20.6588,559.0,16.0,0,5.32,0,3,6.8
211,741,9,151.5,-5.5321,35.0,18.0,0,1.487,0,6,6.9
212,696,5,151.402,-5.5024,40.0,15.0,0,1.507,0,6,6.7
213,719,6,153.2,-4.3762,22.86,16.0,0,1.049,0,6,6.8
214,697,8,142.612,-6.3043,20.49,19.0,0,5.457,0,7,6.7
215,943,9,142.754,-6.0699,25.21,17.0,0,5.48,0,8,7.5
216,1384,7,-97.9787,16.3855,22.0,82.0,0,0.142,0,7,7.2
217,1870,9,-149.166,56.0039,14.06,30.0,0,2.585,0,4,7.9
218,1075,9,-74.7092,-15.7675,39.0,23.0,0,4.29,0,7,7.1
219,1623,8,-83.52,17.4825,19.0,12.0,0,4.581,0,5,7.5
220,998,8,108.174,-7.4921,90.0,28.0,0,2.365,0,7,6.5
221,651,1,2.1628,-54.2189,17.0,23.0,0,17.654,0,5,6.5
222,771,4,168.671,-21.3246,10.0,14.0,0,0.617,0,6,7.0
223,676,4,168.598,-21.5027,13.0,21.0,0,0.529,0,5,6.6
224,1153,8,-84.4865,9.5147,19.36,37.0,0,0.225,0,8,6.5
225,2790,8,45.9592,34.9109,19.0,33.0,0,0.284,0,9,7.3
226,661,6,143.485,-4.2433,110.57,10.0,0,4.449,0,5,6.5
227,727,5,-173.168,-15.3197,10.0,21.0,0,4.852,0,5,6.8
228,674,3,168.859,-21.6484,22.0,29.0,0,0.788,0,5,6.6
229,691,3,169.148,-21.6971,24.0,55.0,0,1.062,0,4,6.7
230,694,3,123.074,-7.2168,553.81,16.0,0,1.634,0,3,6.7
231,651,3,176.769,52.3909,119.0,11.0,0,1.154,0,5,6.5
232,1686,9,-98.4887,18.5499,48.0,23.0,0,0.984,0,8,7.1
233,2910,9,-93.8993,15.0222,47.39,22.0,0,0.944,0,7,8.2
234,707,5,103.855,33.1926,9.0,22.0,0,11.411,0,7,6.5
235,1064,7,27.4139,36.9293,7.0,16.0,0,0.913,0,7,6.6
236,918,8,168.857,54.4434,10.0,13.0,0,3.564,0,7,7.7
237,704,5,164.016,-49.4837,10.0,37.0,0,3.773,0,4,6.6
238,740,9,124.629,11.1269,9.0,30.0,0,4.139,0,8,6.5
239,1034,6,-90.9718,13.7174,38.12,38.0,0,1.065,0,6,6.8
240,1188,8,-92.0092,14.9091,93.0,35.0,0,0.247,0,6,6.9
241,711,0,170.92,54.0312,5.0,12.0,0,2.308,0,4,6.8
242,678,7,120.431,-1.2923,12.0,18.0,0,2.353,0,7,6.6
243,650,0,-25.7432,-56.414,15.0,17.0,0,6.489,0,4,6.5
244,713,6,167.377,-14.5884,169.0,19.0,0,7.495,0,5,6.8
245,814,9,125.066,5.5043,26.0,14.0,0,1.636,0,6,6.9
246,1642,9,-72.0617,-33.0375,28.0,39.0,0,0.356,0,7,6.9
247,1297,7,25.1558,-22.6784,29.0,15.0,0,2.36,0,8,6.5
248,671,6,162.786,56.9401,17.0,14.0,0,4.591,0,7,6.6
249,733,2,-178.804,-23.2593,414.5,19.0,0,6.012,0,3,6.9
250,653,3,-63.9047,-19.2814,595.98,14.0,0,4.242,0,3,6.5
251,718,8,125.452,9.9071,15.0,36.0,0,2.822,0,7,6.5
252,987,9,155.172,-6.2464,135.0,9.0,0,3.625,0,7,7.9
253,654,6,161.335,-10.3506,36.0,21.0,0,1.64,0,6,6.5
254,849,6,122.617,4.4782,627.17,18.0,0,3.813,0,3,7.3
255,742,6,176.052,-19.3733,12.0,13.0,0,2.495,0,4,6.9
256,1152,9,-73.9413,-43.4064,38.0,29.0,0,0.355,0,8,7.6
257,726,5,127.921,-7.5082,152.0,17.0,0,3.38,0,5,6.7
258,972,9,153.522,-4.5049,94.54,13.0,0,1.389,0,7,7.9
259,737,8,161.132,-10.749,19.73,26.0,0,1.747,0,6,6.9
260,650,0,161.314,-10.8416,12.26,18.0,0,1.937,0,5,6.5
261,961,9,161.327,-10.6812,40.0,13.0,0,1.836,0,8,7.8
262,1120,5,-126.194,40.4535,8.45,55.0,0,1.405,0,4,6.6
263,731,9,96.1678,5.2834,13.0,27.0,0,0.778,0,8,6.5
264,693,8,73.9776,39.2732,17.0,20.0,0,1.697,0,7,6.6
265,855,5,-88.8968,11.9097,10.0,20.0,0,1.796,0,4,6.9
266,1144,9,141.387,37.3931,9.0,10.0,0,0.671,0,6,6.9
267,664,7,173.254,-42.6058,9.0,56.0,0,0.283,0,7,6.5
268,656,6,173.669,-42.3205,10.0,58.0,0,0.135,0,7,6.5
269,1545,9,173.054,-42.7373,15.11,21.0,0,0.481,0,9,7.8
270,2840,9,13.0961,42.8621,8.0,25.0,0,0.174,0,8,6.6
271,677,3,108.163,-4.8626,614.0,16.0,0,2.022,0,3,6.6
272,716,3,148.887,-6.0033,42.0,11.0,0,3.727,0,6,6.8
273,733,2,-178.244,-19.7819,596.4,9.0,0,4.051,0,3,6.9
274,897,5,179.146,-37.3586,19.0,21.0,0,0.698,0,6,7.0
275,713,4,152.792,-3.6849,476.0,12.0,0,0.803,0,3,6.8
276,981,6,94.569,20.9228,82.0,17.0,0,1.802,0,6,6.8
277,799,6,173.117,-22.4765,16.37,14.0,0,4.823,0,5,7.2
278,971,5,145.507,18.5429,196.0,14.0,0,3.294,0,6,7.7
279,671,4,100.665,-2.0967,50.0,16.0,0,2.435,0,6,6.6
280,798,1,-26.9353,-56.2409,78.0,24.0,0,5.803,0,6,7.2
281,733,3,-178.204,-21.9724,405.69,19.0,0,5.485,0,3,6.9
282,780,8,-79.616,0.4947,29.95,17.0,0,1.192,0,7,6.9
283,744,5,-79.7899,0.4261,16.0,21.0,0,1.352,0,7,6.7
284,755,7,167.379,-16.0429,24.0,14.0,0,0.616,0,7,7.0
285,1163,9,-79.9218,0.3819,20.59,15.0,0,1.44,0,9,7.8
286,2074,9,130.754,32.7906,10.0,32.0,0,0.349,0,9,7.0
287,903,6,94.8654,23.0944,136.0,14.0,0,3.001,0,6,6.9
288,738,6,71.1311,36.4725,212.0,17.0,0,0.789,0,4,6.6
289,692,7,166.594,-13.9805,27.59,25.0,0,6.787,0,5,6.7
290,691,7,166.624,-14.0683,24.0,19.0,0,6.697,0,6,6.7
291,734,7,166.855,-14.3235,26.0,25.0,0,1.166,0,6,6.9
292,948,4,94.3299,-4.9521,24.0,20.0,0,7.009,0,3,7.8
293,799,3,158.546,53.9776,177.0,17.0,0,0.958,0,7,7.2
294,1496,7,-153.339,59.6204,125.6,0.0,0,0.0,0,7,7.1
295,673,3,-106.934,18.8239,10.0,74.0,0,2.413,0,4,6.6
296,717,5,142.781,41.9723,46.0,22.0,0,0.281,0,6,6.7
297,651,3,126.862,3.8965,13.0,22.0,0,3.144,0,6,6.5
298,1515,8,93.6505,24.8036,55.0,16.0,0,1.794,0,7,6.7
299,765,8,-93.633,15.8015,85.0,35.0,0,0.41,0,6,6.6
300,738,8,129.508,-4.1064,21.0,14.0,0,2.979,0,5,6.9
301,827,4,72.7797,38.2107,22.0,18.0,0,1.116,0,7,7.2
302,691,2,-71.2574,-9.1825,602.75,19.0,0,2.033,0,3,6.7
303,896,5,-71.0184,-10.0598,620.56,10.0,0,2.852,0,4,7.6
304,957,6,-70.9437,-10.5372,606.21,10.0,0,3.287,0,5,7.6
305,715,5,158.422,-8.8994,12.59,19.0,0,1.599,0,6,6.8
306,1018,7,20.6,38.67,11.0,0.0,0,0.0,0,7,6.5
307,702,5,128.873,31.0009,12.0,17.0,0,1.444,0,4,6.7
308,744,5,-72.0585,-29.5097,10.0,43.0,0,0.821,0,6,6.9
309,761,6,-72.0068,-29.5067,12.0,32.0,0,0.784,0,6,6.9
310,675,7,94.648,6.8431,10.0,31.0,0,2.792,0,4,6.6
311,841,7,-71.4519,-30.8796,46.0,41.0,0,0.258,0,7,6.8
312,657,5,124.875,-8.3381,20.0,21.0,0,1.53,0,7,6.5
313,1448,8,70.3676,36.5244,231.0,18.0,0,0.622,0,7,7.5
314,780,6,167.303,-14.8595,135.0,11.0,0,0.592,0,6,7.1
315,671,7,131.262,-0.6212,18.0,13.0,0,2.486,0,7,6.6
316,820,5,-71.3792,-31.7275,35.0,14.0,0,1.064,0,7,6.6
317,718,5,-71.804,-31.5173,23.0,35.0,0,0.853,0,7,6.7
318,657,6,-71.6876,-31.4244,27.0,62.0,0,0.749,0,7,6.5
319,799,8,-71.4262,-31.5622,28.41,13.0,0,0.903,0,7,7.0
